external_sku,raw_description,unit_price
KR-5621,CREST 3D WHITE RADIANT MINT TOOTHPASTE,3.99
KR-5622,CREST 3DW ARCTIC FRSH TP 5.4Z,4.49
KR-5623,CREST PROHEALTH CLEAN MINT TP,3.79
KR-5624,COLGATE TTL WHITENING TPASTE,3.59
KR-5625,COLGATE TOTAL ADV CLEAN 6OZ,4.99
KR-5626,SENSODYNE PRONAMEL GNT WHT,5.49
KR-5627,LISTERINE TTL CARE FRSH MINT 500,6.99
KR-5628,LISTERINE ZERO ALCOHOL 1L,8.99
KR-6001,PEPSI COLA ORIGINAL 500ML,1.89
KR-6002,PEPSI ZERO SUGAR 20OZ,2.09
KR-6003,MTN DEW ORIGINAL 500ML BTL,1.89
KR-6004,MOUNTAIN DEW CODE RED 2LTR,2.99
KR-6005,GATORADE LEMON LIME 20OZ,1.79
KR-6006,COCA COLA CLASSIC 500ML,1.89
KR-6007,SPRITE ORIGINAL 20OZ BOTTLE,1.89
KR-6008,FANTA ORANGE SODA 500ML,1.59
KR-6009,AQUAFINA PURIFIED WATER 1L,1.19
KR-6010,DASANI WATER 20OZ BTL,1.39
KR-7001,HEAD SHOULDERS CLASSIC ORIG 400,5.99
KR-7002,H&S 2-IN-1 CLASSIC 700ML,8.49
KR-7003,PANTENE PROV DAILY MOISTURE 400,6.99
KR-7004,DOVE DAILY MOISTURE SHAMPOO 12OZ,4.99
KR-7005,OLD SPICE SWAGGER BODY WASH 18OZ,6.49
KR-7006,OLD SPICE FIJI BODYWASH 22OZ,7.49
KR-7007,AXE APOLLO BODY WASH 16OZ,5.99
KR-7008,SECRET CLINICAL COMPLETE CLEAN,7.99
KR-7009,DEGREE MOTION SENSE COOL RUSH,4.99
KR-8001,TIDE LAUNDRY DETERGENT ORIG 92OZ,11.99
KR-8002,TIDE FREE & GENTLE 92 FL OZ,12.49
KR-8003,TIDE ULTRA OXI LIQUID 92OZ,13.99
KR-8004,GAIN ORIGINAL LAUNDRY DET 92OZ,10.99
KR-8005,PERSIL PROCLEAN ORIGINAL 100,12.99
KR-8006,DAWN ULTRA DISH SOAP ORIG 24,3.79
KR-8007,DAWN PLATINUM DISH LIQUID 38OZ,5.99
KR-8008,PALMOLIVE ULTRA ORIG 32.5 FL OZ,3.59
KR-9001,LAYS CLASSIC POTATO CHIPS 7.75OZ,3.79
KR-9002,LAYS SOUR CREAM ONION 10OZ,4.49
KR-9003,LAYS BBQ POTATO CHIPS 13OZ BAG,4.99
KR-9004,DORITOS NACHO CHS 9.25OZ,4.49
KR-9005,DORITOS COOL RANCH 11OZ BAG,4.99
KR-9006,TOSTITOS ORIGINAL CHIPS 13OZ,4.49
KR-9007,PRINGLES ORIGINAL CRISPS 5.2OZ,2.49
KR-9008,OREO ORIGINAL COOKIES 10.1OZ,3.99
KR-9009,OREO DOUBLE STUFF 15.35OZ PKG,5.49
KR-9010,CHIPS AHOY ORIGINAL 11.75OZ,4.29
