external_sku,raw_description,unit_price
WMT-001,CR 3DW RAD MNT 4.8OZ,5.99
WMT-002,CR PRHLTH ADV WHTN 5.1OZ,6.49
WMT-003,CR CMPLT WHTN SCOPE 6.2OZ,6.99
WMT-004,CG TTL WHTN 4.8OZ,4.99
WMT-005,CG TTL CLN MNT 5.1OZ,5.49
WMT-006,SN PRNML FRSH BRTH 4OZ,7.99
WMT-007,LST CL MNT MW 500ML,6.49
WMT-008,LST TTL CARE 1L,8.99
WMT-010,PEP ORIG 2L,2.49
WMT-011,PEP ZRO SGR 12OZ,1.99
WMT-012,MTN DEW ORIG 20OZ,2.29
WMT-013,MTN DEW CODE RED 2L,2.49
WMT-014,GAT LMN LME 32OZ,2.99
WMT-015,GAT FRT PNCH 20OZ,1.99
WMT-016,CC CLS 2L,2.49
WMT-017,CC ZRO SGR 12OZ,1.99
WMT-018,SPR ORIG 2L,2.49
WMT-019,FNT ORNG 2L,2.49
WMT-020,H&S CLS CLN 13.5OZ,7.99
WMT-021,H&S 2N1 CMPLT 23.7OZ,11.99
WMT-022,PAN PRV DLY MSTR 12.6OZ,6.99
WMT-023,PAN PRV VOL ROOT 12OZ,6.99
WMT-024,DV DP MSTR BW 22OZ,8.99
WMT-025,DV GNTL CLN BW 16OZ,6.99
WMT-026,OS SWGR BW 21OZ,7.99
WMT-027,OS FJI BW 21OZ,7.99
WMT-028,AXE APLO BS 4OZ,5.99
WMT-029,DEG MEN ARCT EDGE 2.7OZ,5.99
WMT-030,SCRT CLNCL INVS 2.6OZ,10.99
WMT-031,TD ORIG LQD 46OZ,11.99
WMT-032,TD PODS ORIG 42CT,19.99
WMT-033,TD + OXI 92OZ,21.99
WMT-034,GN ORIG LQD 50OZ,9.99
WMT-035,GN FLNGS ORIG 42CT,17.99
WMT-036,DWN ULTR ORIG 19.4OZ,3.99
WMT-037,DWN PLTNM PWR SPRY 16OZ,4.99
WMT-038,LAY CLS 10OZ,4.49
WMT-039,LAY BBQ 7.75OZ,3.99
WMT-040,LAY SR CRM ONIN 7.75OZ,3.99
WMT-041,DOR NCH CHS 9.25OZ,4.99
WMT-042,DOR CL RNCH 9.25OZ,4.99
WMT-043,TOS SCPS 10OZ,4.49
WMT-044,PRG ORIG 5.5OZ,2.99
WMT-045,ORO ORIG 14.3OZ,4.99
